nome_canal,id_playlist_upload,numero_inscritos,numero_de_vizu,numero_videos_canal,view_por_video
FAVELADO INVESTIDOR,UU_IVY7OXbXLHAFoBcS4Sy4Q,340000,7958370,270,29475.444444444445
Código Quant - Finanças Quantitativas,UUzCrdOO2GLYVnNhZUvG03lg,13200,427798,64,6684.34375
Luiz Fernando Roxo,UUNM3TPS5ILT9YnsMcYx5KEA,145000,4949009,573,8637.013961605584
Pit Money,UUFXnHnisrIo8TlTnfyGm_5Q,365000,14754471,372,39662.5564516129
Felippe Percigo,UUs0uN26AVGPxHo9swXU44eg,80400,2111482,175,12065.611428571428
Invista Spiti,UUIjDZzIWu0wlkDbBImhCS7Q,159000,9246977,147,62904.60544217687
DICA DE HOJE,UUV74rV9AAKqXERWwfSP_Z1g,145000,14934061,1233,12111.971613949716
Fernando Ulrich,UULJkh3QjHsLtK0LZFd28oGg,425000,33706811,640,52666.8921875
Professor Vicente Guimaraes,UUfwlP7xvHU7MBs-GNN4if-Q,192000,9374517,459,20423.78431372549
O Primo Rico,UUT4nDeU5pv1XIGySbSK-GgA,5510000,271263484,607,446892.0658978583
Vamos Pra Bolsa,UUv7kTlQJjjDcqIeLUgXocTw,16500,277689,158,1757.5253164556962
TopInvest Educação Financeira ,UUgn_I-nMG1EL6Oc6e-BfscA,154000,7993881,618,12935.082524271844
Tio Huli ,UUm7itZHb1C_OODL1rkremOQ,131000,11376866,487,23361.12114989733
Fundamentei,UU72WcGU4HpVposjNHlP3FRg,128000,6213393,821,7568.079171741779
Quantzed,UUDm0hBmR2n-t-mTNhU3o4vg,9260,411702,386,1066.5854922279793
500 Pratas,UUU4AlCHPHLeT--kSWCgbHhA,188000,11644673,576,20216.446180555555
Jovens de Negócios,UU6pkw1C4ha1cmU9aDJ8OxUw,1770000,73989933,289,256020.5294117647
PrimoCast,UUfMA8s_QXPPcuOTjTDFb4vA,310000,27091488,272,99601.05882352941
Investidor Sardinha,UUM3vJxmuJJkk1r0yzFI9eZg,417000,40432472,1122,36036.07130124777
EconoMirna,UUwLxXLLWEIJFHEeTMlYqHTA,1280000,60847444,732,83124.92349726777
Suno,UUWDeEIDAIi_oYKDiqwfGyRg,283000,15523096,1519,10219.286372613562
Economista Sincero,UUrp0zmecZ3TNV8FSR-tjv7A,496000,31086687,373,83342.32439678285
Tiago Reis,UUwONybZQdULFV_ts2911Rqg,467000,32760753,1093,29973.24153705398
Bruno Perini - Você MAIS Rico,UUCE-jo1GvBJqyj1b287h7jA,842000,68428923,685,99896.23795620438
Canal do Holder,UUJIcpGAVfGIVgHSQ6oCcrXg,306000,16544533,355,46604.318309859154
Papo de Bolsa,UU-4eHsrgDjSmO8EaOUwnSHQ,358000,16046527,514,31218.924124513618
José Kobori,UUOKSOW5uJHdW7Edz37mvAFw,264000,9341436,423,22083.77304964539
Nord Research,UUsU0E4F3RxVOSjWlIMieReA,118000,5394508,493,10942.206896551725
Finanças Femininas,UU4rmnC1GKxNtWLw2fRxNxMA,163000,5600910,474,11816.26582278481
Edufinance,UUhwx8bZzJQH6e454y5zogeA,26800,714608,35,20417.371428571427
Me poupe!,UU8mDF5mWNGE-Kpfcvnn0bUg,6750000,427325156,969,440996.0330237358
